Week of Week Ending Date,Jurisdiction of Occurrence,All Cause
"January 5, 2014",Wyoming,93
"January 12, 2014",Wyoming,85
"January 19, 2014",Wyoming,68
"January 26, 2014",Wyoming,103
"February 2, 2014",Wyoming,73
"February 9, 2014",Wyoming,98
"February 16, 2014",Wyoming,83
"February 23, 2014",Wyoming,82
"March 2, 2014",Wyoming,87
"March 9, 2014",Wyoming,71
"March 16, 2014",Wyoming,88
"March 23, 2014",Wyoming,72
"March 30, 2014",Wyoming,78
"April 6, 2014",Wyoming,71
"April 13, 2014",Wyoming,64
"April 20, 2014",Wyoming,68
"April 27, 2014",Wyoming,84
"May 4, 2014",Wyoming,67
"May 11, 2014",Wyoming,72
"May 18, 2014",Wyoming,100
"May 25, 2014",Wyoming,92
"June 1, 2014",Wyoming,89
"June 8, 2014",Wyoming,94
"June 15, 2014",Wyoming,93
"June 22, 2014",Wyoming,85
"June 29, 2014",Wyoming,80
"July 6, 2014",Wyoming,69
"July 13, 2014",Wyoming,96
"July 20, 2014",Wyoming,79
"July 27, 2014",Wyoming,80
"August 3, 2014",Wyoming,81
"August 10, 2014",Wyoming,93
"August 17, 2014",Wyoming,81
"August 24, 2014",Wyoming,70
"August 31, 2014",Wyoming,92
"September 7, 2014",Wyoming,73
"September 14, 2014",Wyoming,86
"September 21, 2014",Wyoming,96
"September 28, 2014",Wyoming,88
"October 5, 2014",Wyoming,83
"October 12, 2014",Wyoming,90
"October 19, 2014",Wyoming,67
"October 26, 2014",Wyoming,73
"November 2, 2014",Wyoming,94
"November 9, 2014",Wyoming,81
"November 16, 2014",Wyoming,93
"November 23, 2014",Wyoming,86
"November 30, 2014",Wyoming,76
"December 7, 2014",Wyoming,78
"December 14, 2014",Wyoming,85
"December 21, 2014",Wyoming,83
"December 28, 2014",Wyoming,103
"January 4, 2015",Wyoming,112
"January 11, 2015",Wyoming,108
"January 18, 2015",Wyoming,88
"January 25, 2015",Wyoming,80
"February 1, 2015",Wyoming,95
"February 8, 2015",Wyoming,92
"February 15, 2015",Wyoming,73
"February 22, 2015",Wyoming,103
"March 1, 2015",Wyoming,84
"March 8, 2015",Wyoming,105
"March 15, 2015",Wyoming,96
"March 22, 2015",Wyoming,90
"March 29, 2015",Wyoming,94
"April 5, 2015",Wyoming,89
"April 12, 2015",Wyoming,85
"April 19, 2015",Wyoming,101
"April 26, 2015",Wyoming,75
"May 3, 2015",Wyoming,84
"May 10, 2015",Wyoming,73
"May 17, 2015",Wyoming,76
"May 24, 2015",Wyoming,78
"May 31, 2015",Wyoming,88
"June 7, 2015",Wyoming,78
"June 14, 2015",Wyoming,76
"June 21, 2015",Wyoming,93
"June 28, 2015",Wyoming,91
"July 5, 2015",Wyoming,75
"July 12, 2015",Wyoming,89
"July 19, 2015",Wyoming,103
"July 26, 2015",Wyoming,86
"August 2, 2015",Wyoming,89
"August 9, 2015",Wyoming,76
"August 16, 2015",Wyoming,80
"August 23, 2015",Wyoming,89
"August 30, 2015",Wyoming,92
"September 6, 2015",Wyoming,73
"September 13, 2015",Wyoming,86
"September 20, 2015",Wyoming,80
"September 27, 2015",Wyoming,73
"October 4, 2015",Wyoming,80
"October 11, 2015",Wyoming,76
"October 18, 2015",Wyoming,76
"October 25, 2015",Wyoming,78
"November 1, 2015",Wyoming,83
"November 8, 2015",Wyoming,92
"November 15, 2015",Wyoming,98
"November 22, 2015",Wyoming,88
"November 29, 2015",Wyoming,71
"December 6, 2015",Wyoming,117
"December 13, 2015",Wyoming,76
"December 20, 2015",Wyoming,77
"December 27, 2015",Wyoming,66
"January 3, 2016",Wyoming,83
"January 10, 2016",Wyoming,86
"January 17, 2016",Wyoming,87
"January 24, 2016",Wyoming,87
"January 31, 2016",Wyoming,102
"February 7, 2016",Wyoming,86
"February 14, 2016",Wyoming,84
"February 21, 2016",Wyoming,90
"February 28, 2016",Wyoming,84
"March 6, 2016",Wyoming,84
"March 13, 2016",Wyoming,84
"March 20, 2016",Wyoming,97
"March 27, 2016",Wyoming,91
"April 3, 2016",Wyoming,83
"April 10, 2016",Wyoming,82
"April 17, 2016",Wyoming,80
"April 24, 2016",Wyoming,57
"May 1, 2016",Wyoming,78
"May 8, 2016",Wyoming,78
"May 15, 2016",Wyoming,98
"May 22, 2016",Wyoming,75
"May 29, 2016",Wyoming,91
"June 5, 2016",Wyoming,95
"June 12, 2016",Wyoming,99
"June 19, 2016",Wyoming,87
"June 26, 2016",Wyoming,88
"July 3, 2016",Wyoming,80
"July 10, 2016",Wyoming,83
"July 17, 2016",Wyoming,68
"July 24, 2016",Wyoming,83
"July 31, 2016",Wyoming,85
"August 7, 2016",Wyoming,78
"August 14, 2016",Wyoming,88
"August 21, 2016",Wyoming,86
"August 28, 2016",Wyoming,86
"September 4, 2016",Wyoming,71
"September 11, 2016",Wyoming,63
"September 18, 2016",Wyoming,73
"September 25, 2016",Wyoming,78
"October 2, 2016",Wyoming,81
"October 9, 2016",Wyoming,83
"October 16, 2016",Wyoming,85
"October 23, 2016",Wyoming,69
"October 30, 2016",Wyoming,76
"November 6, 2016",Wyoming,70
"November 13, 2016",Wyoming,86
"November 20, 2016",Wyoming,86
"November 27, 2016",Wyoming,77
"December 4, 2016",Wyoming,89
"December 11, 2016",Wyoming,104
"December 18, 2016",Wyoming,84
"December 25, 2016",Wyoming,85
"January 1, 2017",Wyoming,86
"January 8, 2017",Wyoming,85
"January 15, 2017",Wyoming,84
"January 22, 2017",Wyoming,89
"January 29, 2017",Wyoming,94
"February 5, 2017",Wyoming,88
"February 12, 2017",Wyoming,90
"February 19, 2017",Wyoming,83
"February 26, 2017",Wyoming,95
"March 5, 2017",Wyoming,80
"March 12, 2017",Wyoming,88
"March 19, 2017",Wyoming,90
"March 26, 2017",Wyoming,83
"April 2, 2017",Wyoming,80
"April 9, 2017",Wyoming,97
"April 16, 2017",Wyoming,89
"April 23, 2017",Wyoming,77
"April 30, 2017",Wyoming,90
"May 7, 2017",Wyoming,83
"May 14, 2017",Wyoming,96
"May 21, 2017",Wyoming,84
"May 28, 2017",Wyoming,65
"June 4, 2017",Wyoming,74
"June 11, 2017",Wyoming,87
"June 18, 2017",Wyoming,82
"June 25, 2017",Wyoming,72
"July 2, 2017",Wyoming,84
"July 9, 2017",Wyoming,70
"July 16, 2017",Wyoming,84
"July 23, 2017",Wyoming,69
"July 30, 2017",Wyoming,79
"August 6, 2017",Wyoming,90
"August 13, 2017",Wyoming,80
"August 20, 2017",Wyoming,84
"August 27, 2017",Wyoming,80
"September 3, 2017",Wyoming,82
"September 10, 2017",Wyoming,74
"September 17, 2017",Wyoming,77
"September 24, 2017",Wyoming,82
"October 1, 2017",Wyoming,75
"October 8, 2017",Wyoming,98
"October 15, 2017",Wyoming,75
"October 22, 2017",Wyoming,85
"October 29, 2017",Wyoming,83
"November 5, 2017",Wyoming,70
"November 12, 2017",Wyoming,100
"November 19, 2017",Wyoming,90
"November 26, 2017",Wyoming,98
"December 3, 2017",Wyoming,74
"December 10, 2017",Wyoming,87
"December 17, 2017",Wyoming,93
"December 24, 2017",Wyoming,90
"December 31, 2017",Wyoming,97
"January 7, 2018",Wyoming,89
"January 14, 2018",Wyoming,99
"January 21, 2018",Wyoming,97
"January 28, 2018",Wyoming,97
"February 4, 2018",Wyoming,86
"February 11, 2018",Wyoming,97
"February 18, 2018",Wyoming,90
"February 25, 2018",Wyoming,91
"March 4, 2018",Wyoming,107
"March 11, 2018",Wyoming,81
"March 18, 2018",Wyoming,98
"March 25, 2018",Wyoming,88
"April 1, 2018",Wyoming,94
"April 8, 2018",Wyoming,82
"April 15, 2018",Wyoming,80
"April 22, 2018",Wyoming,75
"April 29, 2018",Wyoming,87
"May 6, 2018",Wyoming,91
"May 13, 2018",Wyoming,81
"May 20, 2018",Wyoming,86
"May 27, 2018",Wyoming,76
"June 3, 2018",Wyoming,86
"June 10, 2018",Wyoming,74
"June 17, 2018",Wyoming,72
"June 24, 2018",Wyoming,86
"July 1, 2018",Wyoming,82
"July 8, 2018",Wyoming,92
"July 15, 2018",Wyoming,91
"July 22, 2018",Wyoming,88
"July 29, 2018",Wyoming,97
"August 5, 2018",Wyoming,84
"August 12, 2018",Wyoming,89
"August 19, 2018",Wyoming,84
"August 26, 2018",Wyoming,69
"September 2, 2018",Wyoming,104
"September 9, 2018",Wyoming,95
"September 16, 2018",Wyoming,88
"September 23, 2018",Wyoming,86
"September 30, 2018",Wyoming,69
"October 7, 2018",Wyoming,81
"October 14, 2018",Wyoming,106
"October 21, 2018",Wyoming,90
"October 28, 2018",Wyoming,86
"November 4, 2018",Wyoming,89
"November 11, 2018",Wyoming,104
"November 18, 2018",Wyoming,90
"November 25, 2018",Wyoming,106
"December 2, 2018",Wyoming,92
"December 9, 2018",Wyoming,101
"December 16, 2018",Wyoming,105
"December 23, 2018",Wyoming,92
"December 30, 2018",Wyoming,97
"January 6, 2019",Wyoming,106
"January 13, 2019",Wyoming,81
"January 20, 2019",Wyoming,95
"January 27, 2019",Wyoming,74
"February 3, 2019",Wyoming,100
"February 10, 2019",Wyoming,93
"February 17, 2019",Wyoming,87
"February 24, 2019",Wyoming,84
"March 3, 2019",Wyoming,101
"March 10, 2019",Wyoming,111
"March 17, 2019",Wyoming,90
"March 24, 2019",Wyoming,87
"March 31, 2019",Wyoming,89
"April 7, 2019",Wyoming,70
"April 14, 2019",Wyoming,88
"April 21, 2019",Wyoming,85
"April 28, 2019",Wyoming,83
"May 5, 2019",Wyoming,111
"May 12, 2019",Wyoming,86
"May 19, 2019",Wyoming,95
"May 26, 2019",Wyoming,88
"June 2, 2019",Wyoming,79
"June 9, 2019",Wyoming,73
"June 16, 2019",Wyoming,94
"June 23, 2019",Wyoming,84
"June 30, 2019",Wyoming,98
"July 7, 2019",Wyoming,86
"July 14, 2019",Wyoming,74
"July 21, 2019",Wyoming,97
"July 28, 2019",Wyoming,74
"August 4, 2019",Wyoming,83
"August 11, 2019",Wyoming,71
"August 18, 2019",Wyoming,78
"August 25, 2019",Wyoming,89
"September 1, 2019",Wyoming,98
"September 8, 2019",Wyoming,101
"September 15, 2019",Wyoming,83
"September 22, 2019",Wyoming,105
"September 29, 2019",Wyoming,88
"October 6, 2019",Wyoming,85
"October 13, 2019",Wyoming,95
"October 20, 2019",Wyoming,97
"October 27, 2019",Wyoming,93
"November 3, 2019",Wyoming,86
"November 10, 2019",Wyoming,94
"November 17, 2019",Wyoming,83
"November 24, 2019",Wyoming,110
"December 1, 2019",Wyoming,87
"December 8, 2019",Wyoming,90
"December 15, 2019",Wyoming,110
"December 22, 2019",Wyoming,88
"December 29, 2019",Wyoming,144
"January 5, 2020",Wyoming,81
"January 12, 2020",Wyoming,103
"January 19, 2020",Wyoming,96
"January 26, 2020",Wyoming,94
"February 2, 2020",Wyoming,97
"February 9, 2020",Wyoming,75
"February 16, 2020",Wyoming,101
"February 23, 2020",Wyoming,100
"March 1, 2020",Wyoming,80
"March 8, 2020",Wyoming,85
"March 15, 2020",Wyoming,117
"March 22, 2020",Wyoming,88
"March 29, 2020",Wyoming,123
"April 5, 2020",Wyoming,102
"April 12, 2020",Wyoming,89
"April 19, 2020",Wyoming,98
"April 26, 2020",Wyoming,68
"May 3, 2020",Wyoming,83
"May 10, 2020",Wyoming,100
"May 17, 2020",Wyoming,96
"May 24, 2020",Wyoming,78
"January 5, 2014",Wisconsin,1015
"January 12, 2014",Wisconsin,1032
"January 19, 2014",Wisconsin,982
"January 26, 2014",Wisconsin,1015
"February 2, 2014",Wisconsin,975
"February 9, 2014",Wisconsin,988
"February 16, 2014",Wisconsin,1044
"February 23, 2014",Wisconsin,960
"March 2, 2014",Wisconsin,956
"March 9, 2014",Wisconsin,1027
"March 16, 2014",Wisconsin,970
"March 23, 2014",Wisconsin,962
"March 30, 2014",Wisconsin,938
"April 6, 2014",Wisconsin,972
"April 13, 2014",Wisconsin,967
"April 20, 2014",Wisconsin,934
"April 27, 2014",Wisconsin,968
"May 4, 2014",Wisconsin,969
"May 11, 2014",Wisconsin,926
"May 18, 2014",Wisconsin,906
"May 25, 2014",Wisconsin,948
"June 1, 2014",Wisconsin,907
"June 8, 2014",Wisconsin,859
"June 15, 2014",Wisconsin,892
"June 22, 2014",Wisconsin,898
"June 29, 2014",Wisconsin,900
"July 6, 2014",Wisconsin,928
"July 13, 2014",Wisconsin,870
"July 20, 2014",Wisconsin,907
"July 27, 2014",Wisconsin,886
"August 3, 2014",Wisconsin,852
"August 10, 2014",Wisconsin,885
"August 17, 2014",Wisconsin,917
"August 24, 2014",Wisconsin,916
"August 31, 2014",Wisconsin,934
"September 7, 2014",Wisconsin,906
"September 14, 2014",Wisconsin,939
"September 21, 2014",Wisconsin,904
"September 28, 2014",Wisconsin,940
"October 5, 2014",Wisconsin,1046
"October 12, 2014",Wisconsin,974
"October 19, 2014",Wisconsin,960
"October 26, 2014",Wisconsin,1003
"November 2, 2014",Wisconsin,1033
"November 9, 2014",Wisconsin,1002
"November 16, 2014",Wisconsin,985
"November 23, 2014",Wisconsin,1056
"November 30, 2014",Wisconsin,1008
"December 7, 2014",Wisconsin,998
"December 14, 2014",Wisconsin,1044
"December 21, 2014",Wisconsin,1055
"December 28, 2014",Wisconsin,1150
"January 4, 2015",Wisconsin,1196
"January 11, 2015",Wisconsin,1164
"January 18, 2015",Wisconsin,1084
"January 25, 2015",Wisconsin,997
"February 1, 2015",Wisconsin,967
"February 8, 2015",Wisconsin,888
"February 15, 2015",Wisconsin,777
"February 22, 2015",Wisconsin,431
"March 1, 2015",Wisconsin,310
"March 8, 2015",Wisconsin,661
"March 15, 2015",Wisconsin,888
"March 22, 2015",Wisconsin,883
"March 29, 2015",Wisconsin,844
"April 5, 2015",Wisconsin,907
"April 12, 2015",Wisconsin,1046
"April 19, 2015",Wisconsin,991
"April 26, 2015",Wisconsin,964
"May 3, 2015",Wisconsin,970
"May 10, 2015",Wisconsin,872
"May 17, 2015",Wisconsin,902
"May 24, 2015",Wisconsin,858
"May 31, 2015",Wisconsin,957
"June 7, 2015",Wisconsin,878
"June 14, 2015",Wisconsin,878
"June 21, 2015",Wisconsin,899
"June 28, 2015",Wisconsin,893
"July 5, 2015",Wisconsin,865
"July 12, 2015",Wisconsin,898
"July 19, 2015",Wisconsin,834
"July 26, 2015",Wisconsin,476
"August 2, 2015",Wisconsin,325
"August 9, 2015",Wisconsin,676
"August 16, 2015",Wisconsin,919
"August 23, 2015",Wisconsin,867
"August 30, 2015",Wisconsin,915
"September 6, 2015",Wisconsin,918
"September 13, 2015",Wisconsin,963
"September 20, 2015",Wisconsin,992
"September 27, 2015",Wisconsin,912
"October 4, 2015",Wisconsin,996
"October 11, 2015",Wisconsin,989
"October 18, 2015",Wisconsin,1077
"October 25, 2015",Wisconsin,983
"November 1, 2015",Wisconsin,931
"November 8, 2015",Wisconsin,942
"November 15, 2015",Wisconsin,1024
"November 22, 2015",Wisconsin,1002
"November 29, 2015",Wisconsin,969
"December 6, 2015",Wisconsin,875
"December 13, 2015",Wisconsin,831
"December 20, 2015",Wisconsin,856
"December 27, 2015",Wisconsin,973
"January 3, 2016",Wisconsin,1033
"January 10, 2016",Wisconsin,1042
"January 17, 2016",Wisconsin,1018
"January 24, 2016",Wisconsin,1054
"January 31, 2016",Wisconsin,1041
"February 7, 2016",Wisconsin,1013
"February 14, 2016",Wisconsin,1094
"February 21, 2016",Wisconsin,1015
"February 28, 2016",Wisconsin,1068
"March 6, 2016",Wisconsin,1067
"March 13, 2016",Wisconsin,1043
"March 20, 2016",Wisconsin,1055
"March 27, 2016",Wisconsin,1058
"April 3, 2016",Wisconsin,1003
"April 10, 2016",Wisconsin,1039
"April 17, 2016",Wisconsin,996
"April 24, 2016",Wisconsin,968
"May 1, 2016",Wisconsin,966
"May 8, 2016",Wisconsin,950
"May 15, 2016",Wisconsin,987
"May 22, 2016",Wisconsin,944
"May 29, 2016",Wisconsin,899
"June 5, 2016",Wisconsin,919
"June 12, 2016",Wisconsin,887
"June 19, 2016",Wisconsin,893
"June 26, 2016",Wisconsin,912
"July 3, 2016",Wisconsin,915
"July 10, 2016",Wisconsin,915
"July 17, 2016",Wisconsin,916
"July 24, 2016",Wisconsin,903
"July 31, 2016",Wisconsin,934
"August 7, 2016",Wisconsin,1005
"August 14, 2016",Wisconsin,938
"August 21, 2016",Wisconsin,886
"August 28, 2016",Wisconsin,906
"September 4, 2016",Wisconsin,985
"September 11, 2016",Wisconsin,984
"September 18, 2016",Wisconsin,895
"September 25, 2016",Wisconsin,912
"October 2, 2016",Wisconsin,990
"October 9, 2016",Wisconsin,1027
"October 16, 2016",Wisconsin,1007
"October 23, 2016",Wisconsin,977
"October 30, 2016",Wisconsin,948
"November 6, 2016",Wisconsin,1071
"November 13, 2016",Wisconsin,995
"November 20, 2016",Wisconsin,968
"November 27, 2016",Wisconsin,891
"December 4, 2016",Wisconsin,1023
"December 11, 2016",Wisconsin,1030
"December 18, 2016",Wisconsin,1079
"December 25, 2016",Wisconsin,1120
"January 1, 2017",Wisconsin,1084
"January 8, 2017",Wisconsin,1092
"January 15, 2017",Wisconsin,1096
"January 22, 2017",Wisconsin,1111
"January 29, 2017",Wisconsin,1098
"February 5, 2017",Wisconsin,1126
"February 12, 2017",Wisconsin,1071
"February 19, 2017",Wisconsin,1024
"February 26, 2017",Wisconsin,1029
"March 5, 2017",Wisconsin,1037
"March 12, 2017",Wisconsin,1044
"March 19, 2017",Wisconsin,1082
"March 26, 2017",Wisconsin,1029
"April 2, 2017",Wisconsin,1065
"April 9, 2017",Wisconsin,1030
"April 16, 2017",Wisconsin,949
"April 23, 2017",Wisconsin,963
"April 30, 2017",Wisconsin,973
"May 7, 2017",Wisconsin,1013
"May 14, 2017",Wisconsin,957
"May 21, 2017",Wisconsin,994
"May 28, 2017",Wisconsin,968
"June 4, 2017",Wisconsin,936
"June 11, 2017",Wisconsin,947
"June 18, 2017",Wisconsin,920
"June 25, 2017",Wisconsin,998
"July 2, 2017",Wisconsin,968
"July 9, 2017",Wisconsin,920
"July 16, 2017",Wisconsin,893
"July 23, 2017",Wisconsin,965
"July 30, 2017",Wisconsin,909
"August 6, 2017",Wisconsin,973
"August 13, 2017",Wisconsin,950
"August 20, 2017",Wisconsin,898
"August 27, 2017",Wisconsin,952
"September 3, 2017",Wisconsin,983
"September 10, 2017",Wisconsin,1008
"September 17, 2017",Wisconsin,998
"September 24, 2017",Wisconsin,904
"October 1, 2017",Wisconsin,955
"October 8, 2017",Wisconsin,964
"October 15, 2017",Wisconsin,1022
"October 22, 2017",Wisconsin,1015
"October 29, 2017",Wisconsin,1026
"November 5, 2017",Wisconsin,1070
"November 12, 2017",Wisconsin,1047
"November 19, 2017",Wisconsin,1067
"November 26, 2017",Wisconsin,968
"December 3, 2017",Wisconsin,1034
"December 10, 2017",Wisconsin,1116
"December 17, 2017",Wisconsin,1071
"December 24, 2017",Wisconsin,1087
"December 31, 2017",Wisconsin,1227
"January 7, 2018",Wisconsin,1164
"January 14, 2018",Wisconsin,1255
"January 21, 2018",Wisconsin,1153
"January 28, 2018",Wisconsin,1111
"February 4, 2018",Wisconsin,1176
"February 11, 2018",Wisconsin,1099
"February 18, 2018",Wisconsin,1056
"February 25, 2018",Wisconsin,1064
"March 4, 2018",Wisconsin,1043
"March 11, 2018",Wisconsin,1035
"March 18, 2018",Wisconsin,1087
"March 25, 2018",Wisconsin,1056
"April 1, 2018",Wisconsin,1034
"April 8, 2018",Wisconsin,1058
"April 15, 2018",Wisconsin,1068
"April 22, 2018",Wisconsin,1010
"April 29, 2018",Wisconsin,1039
"May 6, 2018",Wisconsin,1041
"May 13, 2018",Wisconsin,958
"May 20, 2018",Wisconsin,953
"May 27, 2018",Wisconsin,923
"June 3, 2018",Wisconsin,936
"June 10, 2018",Wisconsin,923
"June 17, 2018",Wisconsin,951
"June 24, 2018",Wisconsin,970
"July 1, 2018",Wisconsin,995
"July 8, 2018",Wisconsin,1034
"July 15, 2018",Wisconsin,956
"July 22, 2018",Wisconsin,952
"July 29, 2018",Wisconsin,919
"August 5, 2018",Wisconsin,1019
"August 12, 2018",Wisconsin,887
"August 19, 2018",Wisconsin,972
"August 26, 2018",Wisconsin,1025
"September 2, 2018",Wisconsin,886
"September 9, 2018",Wisconsin,997
"September 16, 2018",Wisconsin,955
"September 23, 2018",Wisconsin,1002
"September 30, 2018",Wisconsin,1039
"October 7, 2018",Wisconsin,1022
"October 14, 2018",Wisconsin,1061
"October 21, 2018",Wisconsin,1041
"October 28, 2018",Wisconsin,1026
"November 4, 2018",Wisconsin,975
"November 11, 2018",Wisconsin,1029
"November 18, 2018",Wisconsin,1048
"November 25, 2018",Wisconsin,1021
"December 2, 2018",Wisconsin,1027
"December 9, 2018",Wisconsin,1083
"December 16, 2018",Wisconsin,1003
"December 23, 2018",Wisconsin,1012
"December 30, 2018",Wisconsin,1115
"January 6, 2019",Wisconsin,1056
"January 13, 2019",Wisconsin,1088
"January 20, 2019",Wisconsin,1103
"January 27, 2019",Wisconsin,1144
"February 3, 2019",Wisconsin,1033
"February 10, 2019",Wisconsin,1078
"February 17, 2019",Wisconsin,1014
"February 24, 2019",Wisconsin,1031
"March 3, 2019",Wisconsin,1089
"March 10, 2019",Wisconsin,1078
"March 17, 2019",Wisconsin,1062
"March 24, 2019",Wisconsin,1000
"March 31, 2019",Wisconsin,1055
"April 7, 2019",Wisconsin,1051
"April 14, 2019",Wisconsin,997
"April 21, 2019",Wisconsin,1027
"April 28, 2019",Wisconsin,1002
"May 5, 2019",Wisconsin,1045
"May 12, 2019",Wisconsin,1011
"May 19, 2019",Wisconsin,1048
"May 26, 2019",Wisconsin,969
"June 2, 2019",Wisconsin,987
"June 9, 2019",Wisconsin,931
"June 16, 2019",Wisconsin,986
"June 23, 2019",Wisconsin,1003
"June 30, 2019",Wisconsin,910
"July 7, 2019",Wisconsin,986
"July 14, 2019",Wisconsin,997
"July 21, 2019",Wisconsin,1026
"July 28, 2019",Wisconsin,976
"August 4, 2019",Wisconsin,997
"August 11, 2019",Wisconsin,989
"August 18, 2019",Wisconsin,958
"August 25, 2019",Wisconsin,1049
"September 1, 2019",Wisconsin,1054
"September 8, 2019",Wisconsin,987
"September 15, 2019",Wisconsin,969
"September 22, 2019",Wisconsin,1042
"September 29, 2019",Wisconsin,966
"October 6, 2019",Wisconsin,1093
"October 13, 2019",Wisconsin,1095
"October 20, 2019",Wisconsin,1105
"October 27, 2019",Wisconsin,1065
"November 3, 2019",Wisconsin,1079
"November 10, 2019",Wisconsin,1043
"November 17, 2019",Wisconsin,1074
"November 24, 2019",Wisconsin,1040
"December 1, 2019",Wisconsin,1090
"December 8, 2019",Wisconsin,1111
"December 15, 2019",Wisconsin,1056
"December 22, 2019",Wisconsin,1091
"December 29, 2019",Wisconsin,1118
"January 5, 2020",Wisconsin,1060
"January 12, 2020",Wisconsin,1133
"January 19, 2020",Wisconsin,1086
"January 26, 2020",Wisconsin,1176
"February 2, 2020",Wisconsin,1053
"February 9, 2020",Wisconsin,1125
"February 16, 2020",Wisconsin,1159
"February 23, 2020",Wisconsin,1136
"March 1, 2020",Wisconsin,1114
"March 8, 2020",Wisconsin,1104
"March 15, 2020",Wisconsin,1111
"March 22, 2020",Wisconsin,1145
"March 29, 2020",Wisconsin,1219
"April 5, 2020",Wisconsin,1170
"April 12, 2020",Wisconsin,1144
"April 19, 2020",Wisconsin,1024
"April 26, 2020",Wisconsin,1155
"May 3, 2020",Wisconsin,1074
"May 10, 2020",Wisconsin,1014
"May 17, 2020",Wisconsin,1067
"May 24, 2020",Wisconsin,1123
"January 5, 2014",West Virginia,471
"January 12, 2014",West Virginia,429
"January 19, 2014",West Virginia,467
"January 26, 2014",West Virginia,452
"February 2, 2014",West Virginia,463
"February 9, 2014",West Virginia,458
"February 16, 2014",West Virginia,446
"February 23, 2014",West Virginia,443
"March 2, 2014",West Virginia,446
"March 9, 2014",West Virginia,430
"March 16, 2014",West Virginia,390
"March 23, 2014",West Virginia,422
"March 30, 2014",West Virginia,372
"April 6, 2014",West Virginia,427
"April 13, 2014",West Virginia,390
"April 20, 2014",West Virginia,386
"April 27, 2014",West Virginia,387
"May 4, 2014",West Virginia,383
"May 11, 2014",West Virginia,381
"May 18, 2014",West Virginia,394
"May 25, 2014",West Virginia,357
"June 1, 2014",West Virginia,401
"June 8, 2014",West Virginia,413
"June 15, 2014",West Virginia,377
"June 22, 2014",West Virginia,418
"June 29, 2014",West Virginia,357
"July 6, 2014",West Virginia,386
"July 13, 2014",West Virginia,368
"July 20, 2014",West Virginia,397
"July 27, 2014",West Virginia,392
"August 3, 2014",West Virginia,417
"August 10, 2014",West Virginia,374
"August 17, 2014",West Virginia,378
"August 24, 2014",West Virginia,368
"August 31, 2014",West Virginia,411
"September 7, 2014",West Virginia,379
"September 14, 2014",West Virginia,390
"September 21, 2014",West Virginia,430
"September 28, 2014",West Virginia,392
"October 5, 2014",West Virginia,428
"October 12, 2014",West Virginia,407
"October 19, 2014",West Virginia,435
"October 26, 2014",West Virginia,382
"November 2, 2014",West Virginia,416
"November 9, 2014",West Virginia,484
"November 16, 2014",West Virginia,479
"November 23, 2014",West Virginia,382
"November 30, 2014",West Virginia,419
"December 7, 2014",West Virginia,421
"December 14, 2014",West Virginia,487
"December 21, 2014",West Virginia,440
"December 28, 2014",West Virginia,488
"January 4, 2015",West Virginia,533
"January 11, 2015",West Virginia,498
"January 18, 2015",West Virginia,481
"January 25, 2015",West Virginia,443
"February 1, 2015",West Virginia,507
"February 8, 2015",West Virginia,469
"February 15, 2015",West Virginia,498
"February 22, 2015",West Virginia,424
"March 1, 2015",West Virginia,460
"March 8, 2015",West Virginia,423
"March 15, 2015",West Virginia,437
"March 22, 2015",West Virginia,426
"March 29, 2015",West Virginia,434
"April 5, 2015",West Virginia,434
"April 12, 2015",West Virginia,448
"April 19, 2015",West Virginia,422
"April 26, 2015",West Virginia,442
"May 3, 2015",West Virginia,437
"May 10, 2015",West Virginia,420
"May 17, 2015",West Virginia,381
"May 24, 2015",West Virginia,395
"May 31, 2015",West Virginia,375
"June 7, 2015",West Virginia,422
"June 14, 2015",West Virginia,380
"June 21, 2015",West Virginia,392
"June 28, 2015",West Virginia,389
"July 5, 2015",West Virginia,420
"July 12, 2015",West Virginia,415
"July 19, 2015",West Virginia,388
"July 26, 2015",West Virginia,400
"August 2, 2015",West Virginia,420
"August 9, 2015",West Virginia,393
"August 16, 2015",West Virginia,404
"August 23, 2015",West Virginia,366
"August 30, 2015",West Virginia,399
"September 6, 2015",West Virginia,392
"September 13, 2015",West Virginia,384
"September 20, 2015",West Virginia,431
"September 27, 2015",West Virginia,423
"October 4, 2015",West Virginia,401
"October 11, 2015",West Virginia,435
"October 18, 2015",West Virginia,415
"October 25, 2015",West Virginia,416
"November 1, 2015",West Virginia,390
"November 8, 2015",West Virginia,452
"November 15, 2015",West Virginia,388
"November 22, 2015",West Virginia,410
"November 29, 2015",West Virginia,418
"December 6, 2015",West Virginia,453
"December 13, 2015",West Virginia,449
"December 20, 2015",West Virginia,430
"December 27, 2015",West Virginia,410
"January 3, 2016",West Virginia,433
"January 10, 2016",West Virginia,428
"January 17, 2016",West Virginia,468
"January 24, 2016",West Virginia,440
"January 31, 2016",West Virginia,420
"February 7, 2016",West Virginia,406
"February 14, 2016",West Virginia,428
"February 21, 2016",West Virginia,473
"February 28, 2016",West Virginia,406
"March 6, 2016",West Virginia,457
"March 13, 2016",West Virginia,428
"March 20, 2016",West Virginia,398
"March 27, 2016",West Virginia,447
"April 3, 2016",West Virginia,439
"April 10, 2016",West Virginia,450
"April 17, 2016",West Virginia,403
"April 24, 2016",West Virginia,401
"May 1, 2016",West Virginia,390
"May 8, 2016",West Virginia,424
"May 15, 2016",West Virginia,406
